                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    174,                0.15044,                0.69231,                      1,                0.85819,             0.00047084,             0.00047084,             0.00047084
                    175,                0.22191,                0.69231,                      1,                0.84567,             0.00046943,             0.00046943,             0.00046943
                    176,                0.19208,                0.66346,                      1,                0.86271,             0.00046801,             0.00046801,             0.00046801
                    177,                0.16563,                0.64423,                      1,                0.87377,              0.0004666,              0.0004666,              0.0004666
                    178,                0.24292,                0.69231,                      1,                0.93521,             0.00046519,             0.00046519,             0.00046519
                    179,                0.18655,                0.69231,                      1,                0.80728,             0.00046377,             0.00046377,             0.00046377
                    180,                0.16482,                0.66346,                      1,                0.89748,             0.00046236,             0.00046236,             0.00046236
                    181,                0.23333,                0.70192,                      1,                0.87464,             0.00046094,             0.00046094,             0.00046094
                    182,                0.22962,                0.72115,                      1,                0.80917,             0.00045953,             0.00045953,             0.00045953
                    183,                0.14514,                0.74038,                      1,                 0.8406,             0.00045812,             0.00045812,             0.00045812
                    184,                0.18056,                0.72115,                      1,                0.82846,              0.0004567,              0.0004567,              0.0004567
                    185,                0.21027,                0.69231,                      1,                0.81253,             0.00045529,             0.00045529,             0.00045529
                    186,                0.16101,                0.67308,                      1,                0.82474,             0.00045388,             0.00045388,             0.00045388
                    187,                 0.1869,                0.72115,                      1,                0.86793,             0.00045246,             0.00045246,             0.00045246
                    188,                0.16707,                0.70192,                      1,                 0.8306,             0.00045105,             0.00045105,             0.00045105
                    189,                0.20967,                0.71154,                      1,                0.79665,             0.00044963,             0.00044963,             0.00044963
                    190,                0.17829,                0.72115,                      1,                0.81531,             0.00044822,             0.00044822,             0.00044822
                    191,                0.16047,                0.71154,                      1,                0.82268,             0.00044681,             0.00044681,             0.00044681
                    192,                0.17431,                0.71154,                      1,                0.84612,             0.00044539,             0.00044539,             0.00044539
                    193,                0.17302,                0.71154,                      1,                0.82004,             0.00044398,             0.00044398,             0.00044398
                    194,                0.14457,                0.68269,                      1,                0.84762,             0.00044257,             0.00044257,             0.00044257
                    195,                 0.1609,                0.69231,                      1,                0.83347,             0.00044115,             0.00044115,             0.00044115
                    196,                0.18156,                0.70192,                      1,                0.81049,             0.00043974,             0.00043974,             0.00043974
                    197,                 0.1525,                0.72115,                      1,                0.83784,             0.00043832,             0.00043832,             0.00043832
                    198,                 0.1761,                0.69231,                      1,                0.85052,             0.00043691,             0.00043691,             0.00043691
                    199,                0.16936,                0.72115,                      1,                0.82177,              0.0004355,              0.0004355,              0.0004355
                    200,                0.19239,                0.71154,                      1,                0.85559,             0.00043408,             0.00043408,             0.00043408
                    201,                0.15871,                0.69231,                      1,                0.83109,             0.00043267,             0.00043267,             0.00043267
                    202,                0.20715,                0.68269,                      1,                0.84027,             0.00043126,             0.00043126,             0.00043126
                    203,                0.17576,                0.68269,                      1,                0.84669,             0.00042984,             0.00042984,             0.00042984
                    204,                0.20549,                0.69231,                      1,                0.88001,             0.00042843,             0.00042843,             0.00042843
                    205,                0.17491,                0.68269,                      1,                0.86075,             0.00042701,             0.00042701,             0.00042701
                    206,                0.13654,                0.69231,                      1,                0.79125,              0.0004256,              0.0004256,              0.0004256
                    207,                0.20631,                0.70192,                      1,                0.79833,             0.00042419,             0.00042419,             0.00042419
                    208,                0.16206,                0.68269,                      1,                0.84989,             0.00042277,             0.00042277,             0.00042277
                    209,                0.17527,                0.66346,                      1,                0.86843,             0.00042136,             0.00042136,             0.00042136
                    210,                0.15592,                0.67308,                      1,                0.85529,             0.00041995,             0.00041995,             0.00041995
                    211,                0.14935,                0.67308,                      1,                0.87188,             0.00041853,             0.00041853,             0.00041853
                    212,                0.15479,                0.67308,                      1,                0.87194,             0.00041712,             0.00041712,             0.00041712
                    213,                0.13112,                0.65385,                      1,                0.82945,             0.00041571,             0.00041571,             0.00041571
                    214,                0.20902,                0.67308,                      1,                0.86435,             0.00041429,             0.00041429,             0.00041429
